,Date,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/29/2000,12/29/2000,3/30/2001,6/29/2001,9/28/2001,12/31/2001,3/29/2002,6/28/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,3/31/2005,6/30/2005,9/30/2005,12/30/2005,3/31/2006,6/30/2006,9/29/2006,12/29/2006,3/30/2007,6/29/2007,9/28/2007,12/31/2007,3/31/2008,6/30/2008,9/30/2008,12/31/2008,3/31/2009,6/30/2009,9/30/2009,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/30/2011,3/30/2012,6/29/2012,9/28/2012,12/31/2012,3/29/2013,6/28/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/30/2016,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,
CELG US  EQUITY,HISTORICAL_MARKET_CAP,62.904,81.9219,117.486,150.3315,106.5015,102.4781,117.7136,77.6625,88.972,146.494,129.9797,174.3371,171.5831,161.0526,255.4249,269.8158,298.141,464.176,1250.0933,2134.6201,3870.2658,4217.1814,2405,1871.1,2172.8586,1992.8485,2412.3539,1873.0058,1201.7385,1323.8597,1721.4002,2105.3862,2456.296,3515.356,3653.7258,3893.3862,4694.0601,4784.0886,4377.8949,5674.7684,6827.4589,9206.8527,11086.4296,15316.2034,16635.7152,15247.3986,21633.2795,19906.7442,21930.0059,27508.0197,18628.3867,26703.5583,29035.7091,28989.8931,25380.6859,20428.7401,21935.6723,25657.3934,25573.3492,28553.727,23349.0744,26497.1409,27818.7651,26643.804,27747.8024,27575.6775,29574.4712,34119.277,27784.369,32391.3496,32937.928,48461.971,48102.176,63596.9262,69226.1896,55895.84,68635.296,75842.956,89510.372,91647.6,91546.385,85151.424,94203.216,77539.723,76438.25,81052.562,90122.95,97453.576,101571.327,114774.922,79240.548,65310.641,55800.492,62544.561,44875.818,
CNC US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,221.3682,231.2671,329.5652,287.3712,363.7461,319.645,428.8905,609.6538,563.8973,619.6182,787.6922,873.7416,1171.3121,1253.2043,1426.5153,1067.434,1130.1606,1256.4118,1016.5137,709.6902,1065.5989,911.9803,935.2851,935.6086,1198.2454,605.3351,726.367,885.2101,847.2888,777.7275,905.9874,859.9209,965.2119,1179.1618,1058.0259,1162.182,1257.2903,1647.8575,1786.993,1444.3308,2013.7302,2519.9228,1554.9611,1931.5795,2145.4992,2308.1364,2865.771,3502.9326,3261.0691,3589.1507,4373.125,4852.3308,6149.6551,8404.1158,9574.6707,6464.3006,7919.7716,10494.5723,12179.5387,11440.836,9715.1427,12276.0459,13776.664,16699.2118,17496.3246,18894.0817,25288.4829,29731.1521,47558.7134,
CNP US  EQUITY,HISTORICAL_MARKET_CAP,5219.1613,5474.6328,6021.6873,5375.0235,6099.3907,5310.4868,5279.2045,4881.0761,5700.8101,6148.3336,7566.9063,8163.7348,8759.9633,8854.1905,9495.8865,7435.7049,7875.7494,8001.6234,6724.9526,6691.6997,8427.401,13299.0511,12407.4715,13075.847,9348.0796,7651.8364,8034.0749,7670.9005,5036.7575,2997.1832,2592.6445,2126.732,2482.8418,2800.6982,2968.0179,3497.7172,3535.4974,3191.3484,3480.4,3717.3148,4087.1241,4610.7375,3983.5,3714.3331,3895.3757,4472.5053,5206.12,5750.446,5588.199,5149.1414,5532.99,4684.3426,5485.537,4997.0363,4366.52,3642.3286,4037.4736,4851.8205,5673.41,5660.5129,5546.6249,6651.4311,6681,7469.6246,8239.8906,8356.5345,8558.34,8426.2528,8834.0661,9104.509,8239,10267.4144,10067.9894,10274.5048,9944.22,10180.7412,10976.9855,10517.104,10074.9,8780.5174,8187.8451,7761.9291,7894.8,9008.4637,10336.3558,10004.7395,10612.0169,11881.5129,11801.3602,12590.4121,12224.4318,11822.3155,11958.189,11932.5193,14149.0538,
CTL US  EQUITY,HISTORICAL_MARKET_CAP,1656.192,1792.9148,1876.8694,1886.7437,1903.1925,2055.9343,1848.1467,1772.419,2026.3705,2662.836,3025.412,3730.5811,4211.3251,4343.4092,6213.7125,6522.572,5539.6795,5674.1749,6629.9417,5206.0018,4040.5239,3832.4928,5028.8455,4053.5486,4272.9177,4726.4817,4632.436,4805.1179,4178.9994,3186.0197,4200.0471,3949.7084,5012.0571,4886.1547,4709.1536,3834.6901,4055.1896,4603.4655,4695.3027,4310.9821,4498.6775,4581.5721,4346.4271,4537.3113,4320.5787,4577.9156,4944.6648,4984.962,5307.2725,5138.6915,4498.0674,3532.054,3689.8812,3669.4445,2740.5763,2828.2901,3104.9907,9994.893,10833.6438,10643.7559,10035.1662,11943.9422,14079.4278,12705.0891,24335.0596,20449.1822,23008.7208,24012.3174,24575.6932,25175.0176,24475.741,21624.7633,21358.7882,18623.9359,18588.8384,18886.7109,20682.6528,23335.0234,22501.9029,19539.0615,16540.9106,13918.7408,13682.008,17455.4014,15837.2552,14995.7067,12996.8401,12936.2767,13127.8628,10388.4606,17833.7389,17721.9238,20107.0612,22908.1476,16371.09,
CERN US  EQUITY,HISTORICAL_MARKET_CAP,870.5463,1104.1172,666.0245,756.741,698.6205,513.5625,509.2966,435.3685,703.6436,824.525,717.53,717.6415,913.1014,741.8285,895.4027,525,656.6406,503.2793,664.079,664.079,912.6539,923.4752,1604.7406,1607.9275,1192.4137,1466.22,1730.6685,1792.5504,1688.8385,1696.8172,1277.9329,1048.135,1167.4782,821.1943,1113.1163,1369.1846,1607.2451,1542.6148,1620.9937,2027.9037,1914.9699,2532.2375,3322.8443,3568.8749,3673.047,2880.2097,3544.892,3566.8392,4304.8641,4406.3498,4773.9428,4614.9218,3090.7268,3690.469,3832.9516,3099.8948,3486.7749,4866.4535,5918.301,6741.5069,7047.6692,6276.8996,7044.9482,7886.0899,9495.5802,10565.0031,11606.4817,10385.9087,12980.2637,14148.211,13122.415,13092.5578,16279.171,16480.9116,18077.2214,19106.5929,19278.6961,17483.6981,20024.7919,22261.9342,25028.3664,23614.8879,20981.4388,20455.3135,18273.9778,19883.5332,20962.4018,15615.1179,19441.2479,22038.2868,23700.5306,22404.5702,19240.8099,19668.7751,21218.5677,16867.2502
CF US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,814.9606,839.1728,934.921,785.013,941.6171,1414.6127,2134.8759,3334.3692,4241.0266,6190.3707,5841.5292,8631.9435,5200.3819,2378.9303,3442.8521,3592.5508,4187.2089,4409.1832,4429.9697,4510.0597,6792.0161,9631.7601,9768.5622,10157.7302,8869.8966,9484.59,11979.2511,12136.5782,13971.819,12789.0618,11531.7671,9952.2913,12082.377,13014.8631,13748.7934,11947.0748,13885.3876,13173.1146,13492.3116,15003.423,10464.9614,9512.0583,7304.6991,5618.4956,5676.3057,7338.434,6843.9683,6521.1746,8201.3188,9924.0328,8804.632,10365.8954,12621.4771,9694.8327,
SCHW US  EQUITY,HISTORICAL_MARKET_CAP,3817.3004,5054.7868,3502.394,4523.6229,4289.7296,4033.073,5602.1758,5647.2319,7141.0413,9487.4421,11152.649,10136.5,8697.6619,10506.6674,22580.8008,39163.5359,44546.229,27405.91,34084.218,47835.255,46346.548,49061.3681,39317.1094,21373.6466,21768.4058,15736.1285,21171.6541,17943.0128,15336.6416,11748.9933,14591.0317,9743.5777,13640.0252,16141.0394,16074.4438,15837.8976,13124.1848,12417.3442,15914.6541,13760.6968,14673.3897,18621.863,18934.7748,22188.8746,20381.9641,22596.8167,24468.7136,22910.7343,25688.5801,24948.6651,29658.8651,21572.5284,23649.1802,30023.2068,18710.3067,17961.0245,20352.0767,22253.0474,21870.8652,22300.3616,16927.0567,16606.9877,20572.7596,21739.2157,19886.7418,14307.6946,14313.3159,18292.2824,16473.4571,16300.7316,18345.3185,22640.345,27259.2707,27222.3945,33719.0408,35553.4531,35070.4595,38370.1327,39570.7045,39972.1574,42936.7271,37596.0065,43478.716,37027.3486,33481.9187,41799.5215,52603.638,54557.1274,57489.2406,58612.9042,69109.7334,70403.9148,69034.8382,66437.8932,55335.683,
CHTR US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3996.479,3957.9496,4048.817,3725.6715,4380.5228,5571.0958,5969.8519,5041.5678,5726.4796,6380.797,7170.3606,7585.028,7713.6771,10548.3245,12563.8232,14032.9439,14516.2637,13332.9782,17207.1756,16539.9457,18661.3878,21632.6036,19183.8673,19738.5481,20587.5494,22766.9167,61944.9388,73071.5359,77421.0523,87570.5195,86868.1358,90350.0043,80128.4959,73903.3749,67984.8232,74599.6975,64219.0747,
CVX US  EQUITY,HISTORICAL_MARKET_CAP,30238.9569,31796.4079,34182.0208,36629.8113,38512.1312,40857.9276,42468.2681,45497.5003,48406.161,54551.5161,50506.6893,52527.9362,54807.9621,54842.9843,54160.344,58158.0525,62354.6308,58243.6075,56855.9722,60266.4769,55354.4048,54714.8993,89899.4221,56323.6122,58141.363,54450.3495,95633.6738,96360.3364,94524.4605,73969.8723,71009.7478,69067.8578,77165.1218,76377.1206,92363.6957,93929.2772,100234.1141,113642.3477,110644.8777,122347.2183,116535.3201,145317.7952,126749.6223,128492.6649,136407.1183,141393.668,159159.9673,158957.5704,182342.3861,197588.735,195100.2017,178439.443,203659.7514,167582.0973,148253.0251,134794.1316,132865.21,141158.0446,154574.5018,152315.3356,136438.8816,163107.3294,183182.6213,216083.9375,205986.7788,184391.5395,210796.1607,211544.4809,207005.77,228129.0295,210515.9097,231306.6432,230372.2282,233665.5211,239028.1592,227546.5408,247905.5498,225565.4376,210859.0033,197412.5501,181530.9391,148455.0552,169377.9474,179800.6077,197763.9386,194289.2184,222630.3739,203418.5643,197705.6305,223176.4365,238449.629,217925.5059,242258.4779,233649.4898,207009.7123,
CMG US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1796.8516,1979.1684,1599.4883,1763.398,1939.2821,2663.3989,3662.2468,4407.5936,3425.7915,2580.9624,1662.6998,1911.7205,1955.738,2361.0284,2840.3769,2775.5413,3544.4855,4269.156,5321.508,6608.1968,8475.3373,9644.8061,9485.9704,10555.0505,13243.076,12039.8556,10021.5624,9248.9238,10080.1367,11249.6706,13265.0517,16533.7617,17659.5384,18379.0677,20675.622,21238.2918,20200.5681,18847.8585,22466.7583,14675.7324,13822.0276,11740.454,12273.877,10872.0985,12776.6226,11894.2185,8707.5872,8100.3548,8990.8589,11997.2624,12632.0198,11959.2876,
CB US  EQUITY,HISTORICAL_MARKET_CAP,1339.626,1585.0656,1832.6737,2057.4356,2166.935,3075.7917,3483.5222,3634.9441,4084.327,5646.486,5256.4516,6130.0603,7548.7549,5807.7901,6047.7148,5482.1751,3286.9421,3628.8804,4964.29,4964.29,6101.8397,9099.9163,9860.2258,8505.6758,9047.1069,6535.8793,10478.6833,10921.1049,8287.0368,7772.477,7694.3492,7657.0434,9524.219,9212.1515,11593.3337,12060.5792,12008.3106,11384.9587,12161.4569,11859.0718,12933.0569,13587.8122,17278.359,16910.6906,16460.5432,17839.6015,19773.4077,18733.3244,20569.6641,19955.4144,20369.1459,18307.8105,18358.7044,18046.6501,17656.5183,13569.982,14865.5903,17977.5542,16960.8427,17709.3406,17439.1385,19760.1138,20850.1925,21815.149,22241.3892,20385.2518,23625.3406,24789.4276,25134.5834,25683.9742,27157.6584,30253.8264,30430.9194,31816.9466,35178.8661,33479.7682,34866.5936,34828.539,37756.4247,36466.6801,32925.4361,33508.0489,37925.2381,55319.3814,60781.8466,58463.1997,61563.7868,63659.1363,67656.238,66165.7969,67779.9424,63711.7723,58874.0449,61621.5096,59319.8924,
CHD US  EQUITY,HISTORICAL_MARKET_CAP,406.2643,426.4305,361.2125,407.6261,408.5446,397.6792,444.9645,538.8533,507.5826,575.0497,545.4508,573.8066,621.024,578.91,693.9531,779.9188,858.3422,949.8405,1036.9695,656.2016,688.068,700.8225,853.9105,840.3208,991.7865,1010.0629,1042.3749,1160.3999,1246.3074,1305.3383,1214.0789,1183.8803,1313.1181,1380.8915,1615.1256,1800.6174,1868.763,1720.6388,2124.3868,2258.1415,2318.1037,2375.5913,2126.7658,2385.3016,2362.2711,2546.8216,2787.6507,3311.4808,3192.3111,3102.4455,3581.8003,3524.5099,3719.6951,4284.9509,3932.488,3609.7736,3875.2607,3919.0291,4304.3286,4795.9586,4522.4669,4563.4866,4914.5536,5705.3688,5914.0795,6351.9266,6511.0589,6926.15,7726.4347,7527.0469,7434.5052,8929.8326,8547.9826,8329.2645,9210.5761,9376.8953,9347.057,9374.8251,10241.6782,11159.3998,10611.9045,10990.2757,11030.4993,11814.6571,13237.0626,12380.5451,11222.6221,12562.0289,12932.8479,12098.71,12423.592,12312.4843,13026.2814,14606.2366,16235.1961,
CI US  EQUITY,HISTORICAL_MARKET_CAP,5595.7728,7714.209,7881.279,8741.4679,9035.7846,9012.2911,10137.3017,10803.0875,13137.5397,13812.0266,12468.2285,14773.4548,14658.2787,13654.9252,15899.3156,17037.7409,17755.1915,14476.3118,13671.2146,12302.0774,14753.2377,15994.556,20110.2615,16126.2478,14227.9131,12008.0792,13114.8854,14290.6844,13666.9253,9887.8543,5730.8944,6409.8615,6579.3219,6254.8688,8083.9825,8358.976,9455.638,9350.0437,10767.811,11685.7,13757.5592,14821.0954,13537.0347,17092.7899,10921.3987,11927.3885,12979.9068,13681.5472,14804.2531,14879.1982,15022.2632,11394.8681,9727.1855,9252.968,4566.9566,4799.0939,6571.1926,7683.2976,9673.0444,10122.2891,8482.3297,9692.9392,9969.1004,11989.2319,13899.465,11336.497,11992.386,14191.5224,12551.4342,13517.0774,15280.4183,17818.9286,20551.1784,21285.6259,24103.0145,22487.4943,24333.0244,23820.6241,26682.0932,33340.9434,41683.4772,34760.4456,37540.0835,35183.0846,32818.1974,33436.8269,34263.7559,37511.9449,42301.7866,46254.0419,49547.258,40777.594,41331.84,50688.05,72251.2656,
XEC US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,702.213,741.239,807.4278,987.8575,816.1048,1095.9982,1195.593,1251.3104,1453.5276,1581.5397,1629.225,3193.5895,3735.0028,3543.0547,3573.0886,3556.7424,2915.4922,3025.2295,3083.2477,3275.7986,3072.7153,3510.5113,4535.2637,5788.0443,4072.8335,2229.676,1530.9989,2363.6,3617.7395,4425.2195,4981.0046,6019.4902,5605.4909,7545.8299,9857.629,7694.327,4775.8371,5309.4158,6469.1586,4739.634,5066.9611,4999.1857,6521.7688,5621.8371,8371.224,9143.137,10366.5137,12484.1668,11039.5537,9284.8087,10090.3384,10419.4877,9690.4709,8475.0625,9222.656,11333.8312,12760.3361,12927.287,11365.5021,8963.0595,10828.2839,11644.3213,8923.0155,9705.2377,8885.301,5903.3449,
CINF US  EQUITY,HISTORICAL_MARKET_CAP,2969.7921,2883.3975,3461.9692,3533.1563,3199.6315,3189.1114,3609.3856,3886.7455,4352.8209,4501.7178,7804.869,20885.8132,6456.9412,5134.2661,6104.6916,6016.2685,6199.6155,6159.366,5053.0299,6049.3475,5060.4001,5710.814,6365.2502,6097.0874,6384.306,6722.1294,6180.3,7072.92,7584.39,5763.96,6083.1,5646.27,5963.44,6440,6680,6952,7311.36,6924.96,7391.42,7631.75,6923,7330.75,7774.32,7278.11,8132.73,8324.76,7838.63,7292.8,7464.8,7362.7,6563.64,6200.52,4114.8,4607.28,4709.34,3704.94,3620.7,4210.38,4250.88,4712.33,4216.81,4697.66,5133.78,5344.77,4756.34,4265.46,4934.52,5590.62,6167.34,6172.81,6383.08,7696.86,7530.88,7734.24,8536.31,7931.58,7878.56,7669.15,8484.571,8753.904,8229.52,8812.44,9697.963,10745.184,12319.405,12421.674,12453.3,11895.642,11874.555,12557.48,12287.508,12186.066,10871.436,12496.987,12603.976,
CTAS US  EQUITY,HISTORICAL_MARKET_CAP,1621.6725,1774.4388,2165.266,2288.0844,2525.1466,2560.5458,2883.4988,2599.0464,3115.278,3389.4731,3793.1795,4168.2542,4779.4021,4274.7158,5805.25,7479.1947,7045.2615,5706.8132,5123.6391,4458.2231,7404.408,7003.78,8594.99,6086.1004,7899.4634,7900.9526,7254.4739,7521.5935,8872.0453,7487.9494,8592.1137,5720.9994,6315.612,6815.6214,7978.9008,7310.8415,7768.5647,7033.9122,7677.9768,7533.1796,6889.4877,6939.6606,7512.622,6907.9266,6912.3784,5945.1246,6886.2693,6405.9113,6086.8448,5822.2319,4916.1369,4423.0141,4536.9614,4705.8841,3669.9784,3100.1125,3558.4831,4194.6285,4294.0964,3789.6435,3974.616,3772.7579,3886.0772,4085.8873,4519.6306,4148.5124,3943.8543,5002.8612,4668.5791,5057.2497,5106.6005,5387.579,5582.7622,5768.3873,6649.8437,7282.4195,7270.3871,7737.8227,8579.2542,9545.518,9616.5069,9350.7415,9901.1615,8992.3251,9879.4378,12327.4814,12034.1164,12413.6251,13267.8312,14335.3043,16762.6483,18206.2506,19377.9833,22824.1693,19698.0439,
CSCO US  EQUITY,HISTORICAL_MARKET_CAP,10779.2488,14258.7684,21107.3761,22865.6487,29818.9218,33253.4973,38885.362,45403.3999,30887.2813,53452.7009,54153.5023,58749.3528,74470.2058,98352.922,92315.4375,163780.3125,183298.4375,211877.3125,245310,357849.375,485366.2031,448355.625,364443.125,277873.375,114051.6,139595.44,126701.12,140318.55,101835.11,86321.46,85204.74,99099,100638.12,133521.84,136877.4,188085.06,141978.9,140896.2,126613.11,116009.9,110700.7,121238.65,105479.56,115534.56,129135.8,109546.72,143790.64,159364.8,163639.62,176716.268,194015.8,144595,151347.2,132179.99,95641.84,92861.16,106320.24,126575.8,139001.67,131709.98,154093.46,130460.85,127490.22,115805.69,96377.52,86796.95,99685.76,105193.68,107552.34,84079.26,91827.19,112581.45,109861.05,137397.944,120156.705,115240.2,117668,132628.79,121492.02,144068.47,146780.26,144414,149156.7,118065.24,138384.66,153535.37,153684.16,155116.86,170281.86,157064.16,170462.93,207182.08,211657.14,196417.98,199877.25,204079.12
C US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30768.7067,30768.7067,30768.7067,30768.7067,136845.6006,138253.492,85329.5654,112193.1862,161978.3963,160393.8675,148137,209833.0166,201816.9502,203027.8593,242843.56,256447.2109,226417.8951,265580.3393,208341.1125,259905.7702,255788.6272,198324.9025,150088.3,180900.5996,177350.0469,220455.6524,234771.3903,250315.926,267365.516,240882.09,228971.9024,250277.8516,233785.7894,239012.8446,230284.7241,241690.2707,234791.7124,238545.3462,244061.8399,273598.0658,253950.1783,255144.8234,232469.5238,147040.4646,112451.4229,91264.7867,111770.0654,36569.9563,13947.508,16357.9195,110661.5035,94279.6138,115912.0044,108947.5754,113583.9399,137446.0428,129092.4692,121503.3964,74890.7804,76927.2302,107170.3383,80379.359,95952.0871,119822.651,134617.2324,145878.0172,147130.8337,157853.8527,144598.5664,142796.4946,156988.0802,163624.18,156318.8762,166263.8529,147787.7167,152832.1743,122533.2914,123158.8055,134592.7596,164763.2476,164699.8814,182218.3116,192324.7054,191226.8543,172120.5108,168411.2342,175198.895,123302.392,
CFG US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,13115.1607,13570.6891,13210.9533,14669.5588,12589.4071,13822.4123,11081.1616,10571.3176,12803.4456,18240.9521,17603.7656,18049.8288,18916.2651,20604.326,20467.4096,18829.747,18286.8322,13854.4174,
CTXS US  EQUITY,HISTORICAL_MARKET_CAP,#N/A N/A,#N/A N/A,384.3125,524.3182,1002.478,1359.2012,1042.1875,359.1942,1198.1824,1377.1533,2101.324,2265.5251,2865.7329,3012.6719,4169.9993,3326.5587,4960.8696,5522.2854,11137.2806,12246.7759,3522.2802,3752.8912,3988.71,3897.7105,6425.16,3695.6699,4196.1109,3144.0097,1078.5205,1034.947,2071.4355,2171.9922,3.3503,3617.7904,3480.2275,3676.8702,3473.3344,2874.4362,4167.5682,4025.7229,3685.6223,4397.9665,5073.9478,6821.5073,7390.9112,6574.5773,6574.5773,5758.6096,6053.462,7328.2003,7121.5536,5398.1278,5386.0003,4582.9976,4243.9199,4134.2678,5812.2076,7170.224,7598.3605,8830.4169,7820.6159,12811.0364,12826.1909,13799.7548,15062.9486,10157.2486,11282.6261,14667.0806,15673.5286,14308.4404,12227.762,13491.3285,11274.4633,13220.2397,11593.0292,10605.7216,10267.2697,11669.4405,10257.5088,10225.076,11235.5627,10885.62,11636.2561,12144.3033,12472.1671,13267.6461,13959.0637,12602.8975,12032.8143,11571.3198,12646.216,12557.696,14197.2231,14968.6944,13466.7276,
CME US  EQUITY,HISTORICAL_MARKET_CAP,,,,,,,,,,,,,,,,,,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1423.3993,1569.7819,2281.762,2261.9465,2382.4675,3186.0954,4896.4467,5636.7642,7799.0724,6637.4979,10142.317,11612.7085,12695.9922,15488.9425,17034.08,16634.9914,17759.0398,18564.4211,18657.0405,31229.9864,36550.7659,25562.1965,20890.7522,24925.7191,13822.6662,16336.3969,20649.9686,20464.741,22010.084,20738.0804,18466.3014,17397.0182,21508.9875,20163.1407,19440.3053,16292.4608,16114.1408,19152.778,17762.5556,19002.4628,16813.9274,20398.3141,25261.2738,24634.3997,26194.0279,24723.4202,23715.3213,26783.9655,29738.0858,31816.025,31285.7483,31229.1749,30526.5828,32389.8849,32867.7274,35325.7741,39016.33,40214.8692,42415.7822,46011.5302,49545.7099,54900.7021,55654.6102,57848.0812,67126.2952,
CMS US  EQUITY,HISTORICAL_MARKET_CAP,2060.6705,2392.1887,2736.3708,2714,2854.0851,2787.4361,3188.0873,3134.2367,3134.2367,3568.0949,4441.1475,4756.5053,4480.8719,4506.018,5236.2873,4376.1686,4580.8318,3929.9965,3618.9352,1989.1934,2434.2053,3258.4819,3840.5566,3905.5811,3687.8413,2659.6049,3195.99,3050.4108,1579.7255,1161.3412,1360.304,635.481,1167.21,1187.307,1372.8276,1441.845,1469.93,1853.7915,2037.75,2550.624,3301.152,3620.5707,3199.4115,2861.95,2866.21,3210.012,3720.76,3990.76,3863.12,3786.182,3912.238,3050.562,3359.95,2819.467,2288.904,2685.312,2742.16,3049.84,3568.914,3524.88,3344.595,4137.392,4642.56,4925.712,4957.942,4987.08,5610.528,5662.8,6196.95,6214.845,6438.758,7423.658,7224.503,7001.12,7123.497,7858.752,8566.25,8159.466,9563.2,9635.16,8810.128,9787.172,10001.376,11849.248,12808.698,11724.991,11620.304,12527.2,13024,13043.712,13319.68,12794.425,13389.696,13881.7,14070.81,
KO US  EQUITY,HISTORICAL_MARKET_CAP,80456.1342,87297.8364,92983.197,103399.8524,122196.5971,126625.8877,130562.2524,138226.9937,168648.5664,150878.7493,164760.0652,191329.4026,210933.5515,141886.7483,165189.7104,151430.6604,153075.954,119167.9937,143969.2437,116118.1152,142244.6006,136654.875,151415.1482,112313.6877,111937.005,116387.2476,117225.603,129791.734,139048.448,118936.7234,108328.64,99714.0602,114187.8137,105311.5426,123907.749,122393.481,122451.3552,96768.009,100310.76,100381.8883,100768.6399,102682.7421,95494.39,98687.59,100752.84,104640.56,111843.5,110688,120888.41,132640.76,142255.66,141380.8,119750.4,121333.76,104664.24,103970.64,113157.2,124655.18,131271,127521.8,115465.35,136862.8,150744.84,153732.14,156130.37,153428.76,158342.11,167040.57,176005.69,170153.98,162001.25,179877.12,177847.74,169574.4,181846.62,171068.4,185003.15,184625,184332.52,177364.8,171742.01,175373.38,185759.04,202867.56,194692.8,182526.16,177780.48,181346.12,191419.8,191832.62,195402.92,184968.37,186536.58,196584.64,202089.8,
